TransactionID,Region,SalesRep,Amount,Salary,ClientName,Date
TXN0001,Afrique,Fatou Diallo,19257.59,51000,Ecobank GH,2024-08-26
TXN0002,Afrique,David Osei,32877.42,54000,Ecobank GH,2024-06-09
TXN0003,Afrique,Fatou Diallo,41302.47,51000,Standard Bank ZA,2024-03-14
TXN0004,Afrique,David Osei,2800.03,54000,Standard Bank ZA,2024-02-04
TXN0005,Afrique,David Osei,15574.78,54000,Standard Bank ZA,2024-09-18
TXN0006,Afrique,David Osei,13093.07,54000,Attijariwafa MA,2024-10-13
TXN0007,Afrique,Fatou Diallo,4799.89,51000,Attijariwafa MA,2024-07-01
TXN0008,Afrique,Fatou Diallo,33973.98,51000,Ecobank GH,2024-05-15
TXN0009,Europe,Bob Dupont,14461.38,58000,ING NL,2024-05-26
TXN0010,Asie,Emma Zhang,23412.17,68000,ICBC CN,2024-10-27
TXN0011,Asie,Kenji Mori,4764.03,65000,ICBC CN,2024-02-03
TXN0012,Europe,Clara Russo,4227.39,71000,Barclays UK,2024-07-21
TXN0013,Asie,Emma Zhang,38335.83,68000,MUFG JP,2024-04-11
TXN0014,Europe,Clara Russo,10701.78,71000,ING NL,2024-08-18
TXN0015,Asie,Emma Zhang,5901.04,68000,DBS SG,2024-01-25
TXN0016,Europe,Alice Martin,11098.49,62000,Barclays UK,2024-12-20
TXN0017,Europe,Bob Dupont,7990.48,58000,BNP Paribas FR,2024-10-04
TXN0018,Asie,Emma Zhang,25305.35,68000,DBS SG,2024-03-12
TXN0019,Europe,Clara Russo,20713.33,71000,Barclays UK,2024-07-18
TXN0020,Afrique,Fatou Diallo,22403.79,51000,Ecobank GH,2024-02-26
TXN0021,Afrique,David Osei,174551.85,54000,Standard Bank ZA,2024-05-13
TXN0022,Europe,Bob Dupont,7225.04,58000,Barclays UK,2024-12-19
TXN0023,Europe,Bob Dupont,5031.5,58000,Allianz DE,2024-01-28
TXN0024,Europe,Bob Dupont,51780.39,58000,ING NL,2024-06-20
TXN0025,Europe,Bob Dupont,11652.35,58000,Barclays UK,2024-09-07
TXN0026,Europe,Bob Dupont,4967.25,58000,Barclays UK,2024-06-22
TXN0027,Afrique,Fatou Diallo,29164.61,51000,Standard Bank ZA,2024-12-09
TXN0028,Asie,Kenji Mori,25636.83,65000,MUFG JP,2024-06-08
TXN0029,Europe,Clara Russo,6011.25,71000,ING NL,2024-06-07
TXN0030,Afrique,Fatou Diallo,15367.7,51000,Ecobank GH,2024-10-20
TXN0031,Asie,Emma Zhang,17368.72,68000,ICBC CN,2024-03-28
TXN0032,Europe,Alice Martin,17471.3,62000,BNP Paribas FR,2024-09-06
TXN0033,Afrique,David Osei,30172.8,54000,Standard Bank ZA,2024-10-20
TXN0034,Europe,Alice Martin,18900.49,62000,Santander ES,2024-01-03
TXN0035,Europe,Alice Martin,28496.77,62000,Santander ES,2024-06-21
TXN0036,Europe,Bob Dupont,9103.32,58000,Allianz DE,2024-09-14
TXN0037,Asie,Kenji Mori,7597.34,65000,ICBC CN,2024-07-03
TXN0038,Asie,Kenji Mori,9602.99,65000,DBS SG,2024-07-26
TXN0039,Europe,Clara Russo,80332.5,71000,ING NL,2024-06-09
TXN0040,Europe,Bob Dupont,42699.14,58000,Santander ES,2024-08-31
TXN0041,Europe,Alice Martin,1773.23,62000,Santander ES,2024-01-29
TXN0042,Europe,Clara Russo,16241.15,71000,Santander ES,2024-10-06
TXN0043,Europe,Alice Martin,26996.62,62000,Allianz DE,2024-02-03
TXN0044,Afrique,David Osei,34614.11,54000,Attijariwafa MA,2024-07-23
TXN0045,Afrique,David Osei,8791.41,54000,Ecobank GH,2024-05-06
TXN0046,Asie,Kenji Mori,37405.43,65000,MUFG JP,2024-06-08
TXN0047,Europe,Clara Russo,10619.37,71000,BNP Paribas FR,2024-12-28
TXN0048,Europe,Alice Martin,3429.11,62000,Barclays UK,2024-11-07
TXN0049,Europe,Clara Russo,4432.23,71000,ING NL,2024-11-08
TXN0050,Europe,Alice Martin,15849.78,62000,Santander ES,2024-04-12
TXN0051,Europe,Bob Dupont,30594.71,58000,Barclays UK,2024-02-16
TXN0052,Europe,Bob Dupont,16159.25,58000,ING NL,2024-07-22
TXN0053,Asie,Emma Zhang,28302.59,68000,DBS SG,2024-05-29
TXN0054,Europe,Bob Dupont,23112.53,58000,Santander ES,2024-05-28
TXN0055,Asie,Emma Zhang,6037.16,68000,MUFG JP,2024-05-02
TXN0056,Afrique,Fatou Diallo,8449.94,51000,Ecobank GH,2024-01-09
TXN0057,Europe,Alice Martin,3181.13,62000,Santander ES,2024-09-11
TXN0058,Asie,Kenji Mori,7606.19,65000,MUFG JP,2024-06-17
TXN0059,Asie,Emma Zhang,13561.54,68000,ICBC CN,2024-12-08
TXN0060,Afrique,Fatou Diallo,22830.15,51000,Standard Bank ZA,2024-02-25
TXN0061,Asie,Kenji Mori,29686.93,65000,MUFG JP,2024-03-01
TXN0062,Europe,Clara Russo,8038.86,71000,Allianz DE,2024-05-19
TXN0063,Afrique,David Osei,12140.94,54000,Standard Bank ZA,2024-08-09
TXN0064,Afrique,Fatou Diallo,2353.04,51000,Ecobank GH,2024-05-12
TXN0065,Europe,Alice Martin,2731.92,62000,BNP Paribas FR,2024-05-03
TXN0066,Asie,Kenji Mori,21584.46,65000,DBS SG,2024-12-17
TXN0067,Afrique,Fatou Diallo,4507.17,51000,Standard Bank ZA,2024-06-15
TXN0068,Europe,Alice Martin,63517.7,62000,BNP Paribas FR,2024-04-07
TXN0069,Afrique,David Osei,8712.23,54000,Standard Bank ZA,2024-04-05
TXN0070,Europe,Bob Dupont,4357.52,58000,Allianz DE,2024-09-18
TXN0071,Afrique,David Osei,10440.78,54000,Ecobank GH,2024-01-29
TXN0072,Europe,Alice Martin,8894.25,62000,Santander ES,2024-02-05
TXN0073,Europe,Alice Martin,36620.73,62000,Barclays UK,2024-09-13
TXN0074,Asie,Kenji Mori,22500.85,65000,DBS SG,2024-03-14
TXN0075,Afrique,Fatou Diallo,17770.28,51000,Standard Bank ZA,2024-07-18
TXN0076,Afrique,David Osei,2356.02,54000,Ecobank GH,2024-03-05
TXN0077,Afrique,Fatou Diallo,14567.6,51000,Ecobank GH,2024-06-28
TXN0078,Europe,Bob Dupont,17662.72,58000,Santander ES,2024-09-19
TXN0079,Europe,Alice Martin,13714.69,62000,Barclays UK,2024-02-21
TXN0080,Afrique,Fatou Diallo,10024.36,51000,Ecobank GH,2024-08-01
TXN0081,Europe,Clara Russo,3912.0,71000,Barclays UK,2024-10-03
TXN0082,Europe,Bob Dupont,17396.01,58000,Santander ES,2024-05-31
TXN0083,Europe,Clara Russo,68256.31,71000,Barclays UK,2024-03-09
TXN0084,Asie,Emma Zhang,20501.33,68000,ICBC CN,2024-04-30
TXN0085,Europe,Alice Martin,77339.76,62000,Santander ES,2024-03-04
TXN0086,Asie,Emma Zhang,6199.96,68000,DBS SG,2024-08-02
TXN0087,Afrique,David Osei,4394.5,54000,Attijariwafa MA,2024-12-27
TXN0088,Asie,Emma Zhang,2560.55,68000,ICBC CN,2024-07-31
TXN0089,Asie,Kenji Mori,28629.16,65000,MUFG JP,2024-04-17
TXN0090,Europe,Alice Martin,2287.08,62000,Allianz DE,2024-01-09
TXN0091,Europe,Bob Dupont,3949.35,58000,Barclays UK,2024-06-19
TXN0092,Europe,Alice Martin,36524.99,62000,Santander ES,2024-10-12
TXN0093,Afrique,David Osei,146690.04,54000,Ecobank GH,2024-09-01
TXN0094,Europe,Clara Russo,21966.88,71000,Santander ES,2024-06-28
TXN0095,Europe,Bob Dupont,4074.71,58000,BNP Paribas FR,2024-07-16
TXN0096,Afrique,Fatou Diallo,18421.13,51000,Standard Bank ZA,2024-06-21
TXN0097,Europe,Bob Dupont,5036.52,58000,Barclays UK,2024-07-17
TXN0098,Europe,Bob Dupont,6409.16,58000,BNP Paribas FR,2024-07-09
TXN0099,Europe,Alice Martin,11282.98,62000,ING NL,2024-05-12
TXN0100,Europe,Bob Dupont,16130.36,58000,Allianz DE,2024-10-28
TXN0101,Europe,Bob Dupont,11043.95,58000,Santander ES,2024-04-20
TXN0102,Asie,Kenji Mori,1790.73,65000,MUFG JP,2024-07-21
TXN0103,Europe,Alice Martin,7453.44,62000,ING NL,2024-02-13
TXN0104,Europe,Clara Russo,18710.2,71000,Santander ES,2024-04-12
TXN0105,Europe,Alice Martin,111470.57,62000,Barclays UK,2024-12-08
TXN0106,Europe,Bob Dupont,43446.58,58000,ING NL,2024-10-07
TXN0107,Europe,Bob Dupont,7338.17,58000,Santander ES,2024-12-21
